PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK
203999,Nikola Jokic,Nikola,1610612743,DEN,29.0,79,55,24,0.696,34.6,0.836,0.164,0.709,0.071,0.119,0.037,0.172,0.102,0.638,0.572,0.428,0.807,0.193,0.596,0.404,822,1411,0.583,30,14,282,57,28,94,475,112,188,451,494,159,472,116,310,244,397,101,390,171,2,11,54
1631094,Paolo Banchero,Paolo,1610612753,ORL,21.0,80,46,34,0.575,35.0,0.751,0.249,0.578,0.149,0.198,0.132,0.224,0.171,0.429,0.363,0.637,0.655,0.345,0.417,0.583,640,1407,0.455,23,52,446,218,24,127,442,201,52,412,266,60,146,287,476,78,461,37,513,48,17,12,271
1627783,Pascal Siakam,Pascal,1610612754,IND,30.0,80,38,42,0.475,33.2,0.806,0.194,0.686,0.083,0.147,0.153,0.167,0.113,0.603,0.507,0.493,0.976,0.024,0.565,0.435,681,1271,0.536,23,124,515,339,53,107,462,124,159,434,200,171,434,137,358,196,205,292,409,152,11,21,95
202331,Paul George,Paul,1610612746,LAC,34.0,74,48,26,0.649,33.8,0.524,0.476,0.406,0.156,0.436,0.105,0.158,0.139,0.25,0.448,0.552,0.733,0.267,0.567,0.433,582,1236,0.471,87,36,332,100,41,353,216,398,48,186,346,197,301,474,414,140,432,66,408,153,25,24,220
203497,Rudy Gobert,Rudy,1610612750,MIN,32.0,76,53,23,0.697,34.1,0.995,0.005,0.765,0.006,0.0,0.048,0.235,0.148,0.76,0.685,0.315,0.0,0.0,0.685,0.315,406,614,0.661,61,22,272,55,34,33,536,84,448,498,478,47,263,66,187,367,497,329,299,262,72,144,18
201566,Russell Westbrook,Russell,1610612746,LAC,35.0,68,45,23,0.662,22.5,0.768,0.232,0.687,0.064,0.167,0.176,0.146,0.149,0.623,0.378,0.622,0.857,0.143,0.445,0.555,301,663,0.454,148,66,272,88,212,120,449,123,204,426,124,239,259,122,468,86,367,127,500,61,140,126,275
1630567,Scottie Barnes,Scottie,1610612761,TOR,22.0,60,22,38,0.367,34.9,0.686,0.314,0.581,0.071,0.254,0.154,0.165,0.132,0.51,0.462,0.538,0.911,0.089,0.564,0.436,447,942,0.475,215,276,488,414,25,176,393,197,189,360,198,177,347,203,403,151,319,179,411,150,62,63,207
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,25.0,75,55,20,0.733,34.0,0.819,0.181,0.622,0.147,0.126,0.115,0.252,0.17,0.475,0.223,0.777,0.368,0.632,0.24,0.76,796,1487,0.535,76,14,237,41,36,100,469,160,55,446,321,34,156,239,527,27,494,4,550,11,4,5,96
201939,Stephen Curry,Stephen,1610612744,GSW,36.0,74,43,31,0.581,32.7,0.394,0.606,0.3,0.078,0.548,0.087,0.152,0.133,0.222,0.399,0.601,0.611,0.389,0.515,0.485,650,1445,0.45,87,79,406,205,60,466,103,490,173,112,396,224,334,496,459,95,471,27,449,112,14,7,293
1629027,Trae Young,Trae,1610612737,ATL,25.0,54,22,32,0.407,36.0,0.535,0.465,0.371,0.079,0.378,0.09,0.251,0.139,0.292,0.252,0.748,0.337,0.663,0.286,0.714,433,1008,0.43,271,276,425,380,9,342,227,431,169,244,390,35,303,440,520,34,495,3,547,14,67,51,377
1630169,Tyrese Haliburton,Tyrese,1610612754,IND,24.0,69,40,29,0.58,32.2,0.49,0.51,0.439,0.117,0.421,0.125,0.14,0.134,0.323,0.315,0.685,0.472,0.528,0.376,0.624,500,1048,0.477,138,110,381,209,70,391,178,359,90,201,287,256,332,413,498,56,492,6,526,35,45,46,203
1630178,Tyrese Maxey,Tyrese,1610612755,PHI,23.0,70,43,27,0.614,37.5,0.599,0.401,0.469,0.057,0.35,0.154,0.181,0.18,0.412,0.343,0.657,0.599,0.401,0.428,0.572,638,1419,0.45,128,79,344,152,2,272,297,324,220,273,190,139,110,313,483,71,474,24,509,52,18,10,295
1641705,Victor Wembanyama,Victor,1610612759,SAS,20.0,71,19,52,0.268,29.7,0.668,0.332,0.556,0.084,0.252,0.123,0.192,0.147,0.472,0.728,0.272,0.797,0.203,0.744,0.256,551,1186,0.465,118,307,551,469,100,196,373,225,155,365,297,104,272,241,140,414,406,92,228,333,30,29,235
1629627,Zion Williamson,Zion,1610612740,NOP,23.0,70,42,28,0.6,31.5,0.984,0.016,0.772,0.004,0.011,0.126,0.217,0.159,0.768,0.474,0.526,0.833,0.167,0.478,0.522,624,1094,0.57,128,88,361,170,82,45,524,80,454,493,283,67,206,63,395,159,386,109,486,75,21,38,65
